date,outlet,transaction_count,total_revenue,avg_transaction_value,total_items,avg_basket_size,zero_value_transactions,day_name,day_of_week,is_weekend,month,tx_lag_1,rev_lag_1_x,tx_roll_mean_7,tx_roll_std_7,tx_diff_from_roll7,tx_zscore_roll7,tx_pct_change_1d,paid_revenue,rev_lag_1_y,rev_roll_mean_7,rev_roll_std_7,rev_diff_from_roll7,rev_zscore_roll7,rev_pct_change_1d
2025-02-20,SHOP001,95,2342000,24652.63157894737,108,1.136842105263158,4,Thursday,3,0,2,95.0,2246000.0,105.57142857142857,9.51940374283226,-10.57142857142857,-1.11051361477076,0.0,2342000,2246000.0,2600142.8571428573,315399.9728236256,-258142.85714285728,-0.8184618877135875,0.04274265360639237
2025-02-21,SHOP001,83,2045000,24638.55421686747,97,1.1686746987951808,5,Friday,4,0,2,95.0,2342000.0,104.14285714285714,10.334869317486552,-21.14285714285714,-2.045778659368713,-0.12631578814404434,2045000,2342000.0,2562428.5714285714,330027.70446477155,-517428.57142857136,-1.5678337437341896,-0.12681468830054365
2025-02-22,SHOP001,112,2885000,25758.92857142857,131,1.1696428571428572,3,Saturday,5,1,2,83.0,2045000.0,101.14285714285714,13.069411762184435,10.857142857142861,0.8307292037295934,0.3493975861518363,2885000,2045000.0,2488428.5714285714,383603.4658962557,396571.42857142864,1.0338056452223148,0.4107579462100681
2025-02-23,SHOP001,118,3096000,26237.28813559322,142,1.2033898305084745,1,Sunday,6,1,2,112.0,2885000.0,103.28571428571429,13.49955907569193,14.714285714285708,1.089982609194879,0.05357142809311225,3096000,2885000.0,2574714.285714286,396870.1358907037,521285.7142857141,1.3134919137074108,0.07313691507796426
2025-02-24,SHOP001,108,2669000,24712.962962962964,126,1.1666666666666667,3,Monday,0,0,2,118.0,3096000.0,105.71428571428571,14.511079510892007,2.285714285714292,0.15751509916843454,-0.08474576199367999,2669000,3096000.0,2659285.714285714,440020.3458499455,9714.285714285914,0.02207690122941855,-0.13791989664078233
2025-02-25,SHOP001,105,2537000,24161.904761904763,122,1.161904761904762,3,Tuesday,1,0,2,108.0,2669000.0,104.28571428571429,13.561148989107194,0.7142857142857082,0.05267147069824081,-0.027777777520576134,2537000,2669000.0,2592142.8571428573,387323.9077617213,-55142.857142857276,-0.14236884436433594,-0.04945672536528683
2025-02-26,SHOP001,105,2539000,24180.95238095238,125,1.1904761904761905,4,Wednesday,2,0,2,105.0,2537000.0,102.28571428571429,11.968211864689573,2.714285714285708,0.226791229816258,0.0,2539000,2537000.0,2545714.285714286,368611.68107993033,-6714.285714285914,-0.018215064955610462,0.0007883326763891257
2025-02-27,SHOP001,102,2578000,25274.50980392157,122,1.196078431372549,4,Thursday,3,0,2,105.0,2539000.0,103.71428571428571,11.54288071661907,-1.7142857142857082,-0.14851453531032333,-0.02857142829931973,2578000,2539000.0,2587571.4285714286,344770.3859782913,-9571.428571428638,-0.02776174799422462,0.01536037810160876
2025-02-28,SHOP001,95,2308000,24294.736842105263,107,1.1263157894736842,2,Friday,4,0,2,102.0,2578000.0,104.71428571428571,10.950103282835421,-9.714285714285708,-0.8871409315720499,-0.06862745030757401,2308000,2578000.0,2621285.714285714,327879.40582156985,-313285.7142857141,-0.9554906734680584,-0.1047323506593853
2025-03-01,SHOP001,76,1798000,23657.894736842107,84,1.105263157894737,2,Saturday,5,1,3,95.0,2308000.0,106.42857142857143,7.32250282478941,-30.42857142857143,-4.155487270018126,-0.19999999789473688,1798000,2308000.0,2658857.1428571427,258582.95159801975,-860857.1428571427,-3.329133407805088,-0.22097053726160273
2025-03-02,SHOP001,81,1917000,23666.666666666668,96,1.1851851851851851,3,Sunday,6,1,3,76.0,1798000.0,101.28571428571429,13.111245627504774,-20.285714285714292,-1.5471995045199531,0.06578947281855957,1917000,1798000.0,2503571.4285714286,392073.4867950395,-586571.4285714286,-1.4960752214203377,0.06618464961064172
2025-03-03,SHOP001,96,2370000,24687.5,107,1.1145833333333333,2,Monday,0,0,3,81.0,1917000.0,96.0,12.701705922171808,0.0,0.0,0.18518518289894836,2370000,1917000.0,2335142.8571428573,345650.8009400198,34857.142857142724,0.10084496480912417,0.23630672926435248
2025-03-04,SHOP001,115,2750000,23913.043478260868,131,1.1391304347826088,4,Tuesday,1,0,3,96.0,2370000.0,94.28571428571429,11.571722512433611,20.714285714285708,1.790077829981729,0.19791666460503474,2750000,2370000.0,2292428.5714285714,314597.55092438345,457571.42857142864,1.4544659588909383,0.1603375527425484
2025-03-05,SHOP001,88,2226000,25295.454545454544,101,1.1477272727272727,1,Wednesday,2,0,3,115.0,2750000.0,95.71428571428571,13.561148989107188,-7.714285714285708,-0.5688518835410054,-0.2347826066540643,2226000,2750000.0,2322857.1428571427,350453.2439434356,-96857.14285714272,-0.27637679071533844,-0.19054545454538527
2025-03-06,SHOP001,102,2496000,24470.58823529412,117,1.1470588235294117,5,Thursday,3,0,3,88.0,2226000.0,93.28571428571429,13.13664449436878,8.714285714285708,0.6633569976461052,0.1590909072830579,2496000,2226000.0,2278142.8571428573,338026.83748061163,217857.14285714272,0.6444965863664419,0.12129380053902908
2025-03-07,SHOP001,78,1775000,22756.410256410258,89,1.141025641025641,4,Friday,4,0,3,102.0,2496000.0,93.28571428571429,13.13664449436878,-15.285714285714292,-1.1635934221005464,-0.23529411534025377,1775000,2496000.0,2266428.5714285714,327149.23054719233,-491428.57142857136,-1.5021541411089427,-0.2888621794870638
2025-03-08,SHOP001,91,2198000,24153.846153846152,102,1.120879120879121,0,Saturday,5,1,3,78.0,1775000.0,90.85714285714286,14.287856982166991,0.1428571428571388,0.009998499637625329,0.16666666452991455,2198000,1775000.0,2190285.714285714,374466.15970192244,7714.285714285914,0.02060075527360319,0.23830985915479533
2025-03-09,SHOP001,99,2521000,25464.646464646463,113,1.1414141414141414,2,Sunday,6,1,3,91.0,2198000.0,93.0,12.727922061357893,6.0,0.4714044837539962,0.08791208694602103,2521000,2198000.0,2247428.5714285714,332832.21856407874,273571.42857142864,0.8219499595047082,0.14695177434024254
2025-03-10,SHOP001,105,2483000,23647.61904761905,118,1.1238095238095238,2,Monday,0,0,3,99.0,2521000.0,95.57142857142857,11.674147261608246,9.42857142857143,0.8076453388534007,0.060606059993878185,2483000,2521000.0,2333714.285714286,310431.26683466084,149285.7142857141,0.480897803263949,-0.015073383577939282
2025-03-11,SHOP001,93,2292000,24645.16129032258,106,1.1397849462365592,2,Tuesday,1,0,3,105.0,2483000.0,96.85714285714286,12.212405870378621,-3.857142857142861,-0.31583805699255074,-0.11428571319727893,2292000,2483000.0,2349857.1428571427,315528.88329038455,-57857.142857142724,-0.1833655995407331,-0.07692307692304595
2025-03-12,SHOP001,97,2348000,24206.18556701031,109,1.1237113402061856,2,Wednesday,2,0,3,93.0,2292000.0,93.71428571428571,9.232447954800298,3.285714285714292,0.35588762004537544,0.04301075222569084,2348000,2292000.0,2284428.5714285714,261603.2983627819,63571.42857142864,0.24300698412077013,0.02443280977311325
2025-03-13,SHOP001,95,2269000,23884.21052631579,111,1.168421052631579,3,Thursday,3,0,3,97.0,2348000.0,95.0,8.925618559330646,0.0,0.0,-0.02061855648846849,2269000,2348000.0,2301857.1428571427,261125.4031887307,-32857.142857142724,-0.12582897893419087,-0.033645655877328096
2025-03-14,SHOP001,95,2427000,25547.36842105263,113,1.1894736842105262,2,Friday,4,0,3,95.0,2269000.0,94.0,8.386497083606141,1.0,0.11923928080956604,0.0,2427000,2269000.0,2269428.5714285714,246693.37049791194,157571.42857142864,0.6387339402463741,0.06963420008811387
2025-03-15,SHOP001,94,2065000,21968.08510638298,103,1.0957446808510638,4,Saturday,5,1,3,95.0,2427000.0,96.42857142857143,4.577377082170748,-2.4285714285714306,-0.5305595004334271,-0.01052631567867036,2065000,2427000.0,2362571.4285714286,118873.68245727597,-297571.42857142864,-2.5032574276974606,-0.14915533580545978
2025-03-16,SHOP001,82,2077000,25329.26829268293,95,1.1585365853658536,1,Sunday,6,1,3,94.0,2065000.0,96.85714285714286,4.099941927579567,-14.857142857142861,-3.6237438226765484,-0.12765957311000453,2077000,2065000.0,2343571.4285714286,154770.64444187502,-266571.42857142864,-1.7223642734770588,0.005811138014525031
